Amostra,Acel_X,Acel_Y,Acel_Z,Giro_X,Giro_Y,Giro_Z,Temperatura
165,1.442,0.752,9.626,-0.878,6.038,-1.298,16.25
166,-3.906,1.042,10.370,-1.847,-2.695,-3.763,16.25
167,2.251,0.800,9.817,0.160,5.466,-0.855,16.06
168,-4.052,2.486,9.520,-1.985,-1.267,-2.924,16.25
169,1.502,0.647,9.769,2.031,2.763,-0.450,15.92
170,-3.147,2.244,9.824,0.534,1.427,-3.763,16.06
171,-0.508,-0.639,10.428,-1.046,-1.160,2.466,16.20
172,-2.021,0.560,10.114,-2.534,-2.107,-1.481,16.06
173,0.242,0.829,9.678,-1.954,5.015,-1.847,16.06
174,-0.532,0.120,10.006,-1.000,-2.122,-1.550,16.01
175,-2.208,1.722,9.489,-1.565,4.397,-2.802,15.92
176,-0.881,0.304,10.200,-0.305,-0.153,-2.412,16.34
177,-1.159,1.820,9.745,-1.634,3.802,-3.817,16.34
178,1.408,0.414,10.402,-0.198,0.618,-1.641,16.01
179,-3.104,2.294,9.793,-1.977,1.878,-2.763,16.06
180,0.592,0.580,10.016,0.679,1.275,0.046,16.34
181,2.658,0.635,9.513,2.924,4.328,-1.618,16.06
182,-2.845,1.952,9.786,1.290,-2.496,-2.336,16.34
183,1.032,0.395,10.050,3.733,1.901,-0.466,16.25
184,1.581,0.263,10.253,3.840,2.389,3.794,16.06
185,-0.422,1.042,9.709,3.298,4.038,1.412,15.82
186,0.786,-0.208,10.423,3.145,-0.374,3.023,16.25
187,1.602,-0.290,9.803,3.542,5.557,3.038,16.15
188,-1.993,0.304,10.083,2.160,-1.595,3.176,16.06
189,2.194,-0.453,10.073,3.695,4.931,3.237,16.06
190,-1.756,-0.484,10.636,2.252,-3.061,2.084,16.06
191,1.581,-0.970,10.267,0.840,3.443,4.580,16.01
192,-0.268,0.074,9.925,-0.191,5.405,1.649,15.92
193,-4.555,0.465,10.073,-2.733,-2.794,0.008,16.06
194,1.427,-0.067,9.525,-2.183,5.366,1.412,16.15
195,-4.208,1.130,10.047,-2.962,-1.450,-2.336,16.01
196,0.905,0.062,9.970,-0.695,3.107,-0.580,16.25
197,-3.839,1.648,9.987,-2.145,0.611,-4.061,16.06
198,0.984,0.354,10.069,0.046,1.450,-0.740,16.25
199,-2.920,1.815,9.829,-1.588,3.687,-4.076,16.01
200,-1.310,0.901,10.176,-0.435,-1.031,-1.473,16.15
201,-0.716,2.524,9.487,-1.031,4.725,-2.069,16.15
202,-0.144,2.244,9.068,1.725,4.489,-3.359,16.01
203,1.372,1.087,9.645,2.481,1.221,-0.817,15.92
204,-0.089,1.648,9.544,3.969,4.802,0.031,15.92
205,1.162,0.216,10.414,3.901,-0.893,1.046,16.15
206,2.278,0.101,9.956,4.237,5.649,2.527,16.15
207,1.506,-0.141,9.820,4.130,5.008,2.885,15.87
208,-2.963,0.683,9.709,1.550,0.359,1.832,16.15
209,2.247,-0.477,9.903,3.275,4.771,3.382,16.01
210,-2.728,0.062,10.325,1.794,1.710,2.321,15.92
211,1.847,-1.085,10.126,2.580,2.702,3.290,15.92
212,-0.465,0.089,10.083,-0.679,4.160,2.397,16.01
213,-4.716,0.484,9.923,-2.481,-0.672,-0.275,16.20
214,-0.575,0.005,10.052,-1.885,0.885,0.939,16.25
215,-2.599,1.509,9.561,-2.496,3.267,-2.450,16.01
216,-0.417,0.393,9.858,-1.565,-0.817,-2.382,16.01
217,-2.151,1.530,9.585,-1.733,4.908,-2.321,16.01
218,-2.829,0.814,10.526,-1.359,-2.779,-3.275,16.06
219,1.193,1.413,9.673,-0.115,6.298,-1.519,16.20
220,-2.908,1.411,10.229,-1.305,-2.435,-2.809,16.25
221,1.614,1.851,9.561,1.641,5.412,-1.458,16.39
222,-3.420,2.464,9.506,-0.221,-1.832,-3.466,16.06
223,2.943,0.695,9.472,3.634,4.740,-0.840,16.15
224,1.451,0.357,9.836,4.481,4.779,1.176,16.06
225,-3.468,1.631,9.908,1.924,-0.992,2.275,16.25
226,1.954,0.285,9.947,4.214,4.977,2.298,16.25
227,-2.728,1.071,9.889,3.176,0.573,1.962,16.06
228,-2.874,0.371,10.342,1.718,0.573,0.611,15.92
229,-1.265,-1.095,10.445,-0.153,-2.710,4.397,16.15
230,-2.963,0.172,10.045,-0.626,2.695,2.099,16.01
231,-4.115,0.062,10.267,-2.511,-3.046,1.176,16.25
232,-3.461,0.936,10.248,-2.725,-2.122,-2.153,15.92
233,1.703,0.129,9.640,-0.626,2.527,-1.412,16.01
234,2.309,0.814,9.939,0.496,6.313,-1.405,16.15
235,-3.969,1.612,10.073,-1.947,-2.137,-2.840,16.20
236,2.237,1.389,9.434,1.511,4.672,-0.969,15.87
237,-3.308,2.340,9.590,-0.382,-0.489,-3.695,16.20
238,2.184,0.541,9.834,3.573,3.015,-0.504,16.06
239,-2.342,2.232,9.939,1.710,1.168,-3.053,16.06
240,-0.074,0.381,10.497,4.122,-0.069,1.595,16.01
241,-1.672,1.320,9.884,2.779,2.489,1.351,16.06
242,-0.182,0.493,10.414,3.229,-0.931,2.618,16.20
243,-1.023,0.927,9.884,3.519,3.969,0.527,16.06
244,-2.817,0.874,9.889,1.679,-1.992,2.977,16.01
245,1.691,-0.568,10.107,2.924,1.176,3.603,16.20
246,0.810,-1.032,10.275,2.107,5.092,2.557,16.06
247,-1.339,-0.874,10.500,0.580,-0.427,4.328,16.06
248,1.521,-0.915,10.251,0.282,4.412,2.763,16.01
249,0.905,0.448,9.333,-1.740,6.275,-0.069,16.01
250,-3.911,1.277,10.021,-2.336,-0.519,-2.550,16.15
251,-1.825,0.517,10.318,-1.267,-1.397,-2.084,16.25
252,2.206,0.127,10.354,0.542,5.603,-0.992,16.01
253,-1.286,-0.644,10.426,-1.473,-2.183,3.069,16.06
254,-0.448,0.299,10.152,-0.275,-0.519,-1.748,16.15
255,0.874,1.717,9.398,-0.931,5.160,-1.405,16.15
256,-3.882,1.049,10.090,-1.275,-2.702,-2.931,16.25
257,-3.707,-0.125,10.471,0.634,0.374,2.947,16.06
258,-3.751,1.315,10.296,-2.313,-1.244,-2.695,16.01
259,0.400,0.546,9.738,2.603,4.458,0.985,15.82
260,-2.388,-1.004,10.617,-1.679,-2.282,2.168,16.15
261,-3.559,1.219,9.923,2.359,-1.435,1.328,16.34
262,1.483,-1.418,10.232,2.176,1.092,4.504,16.25
263,-2.817,1.590,9.906,2.198,-2.885,0.656,16.15
264,-1.030,-0.230,10.306,2.168,-2.527,2.565,16.06
265,1.758,-0.062,10.155,3.687,0.710,2.878,16.06
266,1.772,-0.259,10.047,3.359,0.695,3.099,16.01
267,-1.511,0.364,10.239,-0.885,-1.969,-2.038,15.87
268,-0.850,1.564,9.444,-0.931,5.855,-2.611,16.25
269,-4.184,0.819,10.215,-1.847,0.443,0.908,16.15
270,-1.602,-0.479,10.071,-1.405,0.137,2.198,16.06
271,-0.687,-0.062,10.119,-0.328,4.771,3.115,16.25
272,-2.055,-0.474,10.445,-1.542,-2.557,2.443,15.87
273,2.036,-1.176,10.196,3.603,5.023,2.893,16.06
274,-4.043,-0.357,10.543,-0.084,-1.748,2.901,16.44
275,-1.188,0.709,9.963,2.687,-2.794,2.412,15.82
276,2.350,0.742,9.657,1.954,4.740,-1.305,16.25
277,-3.118,1.411,10.188,3.038,-0.191,1.397,16.34
278,1.231,1.677,9.590,-0.840,6.511,-1.771,16.15
279,-0.038,1.494,9.400,3.740,2.916,-0.229,16.06
280,1.715,0.457,9.884,-0.160,4.344,-0.321,15.92
281,2.017,1.569,9.515,3.450,5.718,-0.527,16.01
282,-0.510,0.141,10.200,-1.092,0.198,-1.336,16.25
283,0.129,2.326,9.142,-0.237,4.351,-2.565,16.39
284,1.123,-0.659,9.961,-0.725,4.244,2.092,15.92
285,-4.234,1.344,9.887,-2.908,-1.183,-3.061,15.92
286,-1.569,0.029,9.906,0.649,3.771,2.733,16.39
287,-2.235,0.764,9.767,-2.275,3.313,0.267,16.15
288,-1.597,-0.869,10.598,-0.031,-2.206,3.489,15.92
289,1.643,-0.589,10.399,0.099,5.802,2.664,16.06
290,1.166,0.192,10.145,2.718,-0.267,2.695,16.34
291,-3.195,0.486,10.423,2.122,1.237,1.550,16.01
292,-1.844,1.260,9.844,2.817,2.908,0.809,16.01
293,0.081,-0.050,10.179,2.817,-1.863,2.221,16.01
294,1.588,0.414,9.899,4.076,5.328,2.229,16.01
295,-2.905,1.320,10.284,2.107,-2.359,2.718,16.15
296,2.014,-0.057,9.784,3.832,5.115,1.817,16.01
297,-0.802,0.778,9.398,2.405,3.092,2.076,16.15
298,-2.738,0.424,10.416,1.550,-2.557,2.397,16.06
299,-1.612,1.938,9.566,2.718,0.924,-1.687,16.25
300,-4.024,0.975,9.748,1.504,-1.099,1.992,15.82
301,1.212,0.311,9.436,3.130,5.649,2.290,16.06
302,-2.996,0.371,10.117,1.229,-0.275,1.733,15.92
303,1.849,-1.322,10.272,3.069,4.099,2.786,16.01
304,2.637,-0.352,10.157,3.954,3.916,2.366,16.15
305,-2.704,0.860,10.186,1.916,-3.206,1.916,16.25
306,-1.183,1.938,9.908,0.954,-2.954,-2.038,16.15
307,-0.501,2.335,9.353,3.244,4.550,-0.954,15.92
308,-1.219,1.121,9.982,3.458,4.145,1.550,16.34
309,1.621,0.347,10.181,-0.260,2.107,-0.221,15.87
310,0.103,1.583,9.650,4.481,5.122,0.901,16.25
311,0.376,0.304,10.061,-0.237,-0.260,-2.382,15.92
312,2.840,0.589,9.578,3.939,4.992,-0.237,16.01
313,-2.840,2.433,9.652,2.099,-2.588,-1.863,16.15
314,2.333,-0.019,10.437,5.511,3.420,1.893,16.15
315,-3.097,1.693,9.731,2.137,-1.557,0.237,16.15
316,2.282,0.046,10.277,3.992,3.015,3.000,16.34
317,-3.082,1.538,10.143,2.321,0.107,1.733,16.06
318,1.791,-0.314,10.267,3.496,1.176,3.656,15.87
319,2.041,-0.237,9.863,3.046,4.527,3.420,15.87
320,-2.045,0.366,10.066,1.611,-2.664,2.015,16.06
321,1.324,-1.293,10.291,2.779,3.229,3.229,16.34
322,-4.134,0.050,10.143,0.183,-2.992,3.069,16.06
323,0.750,-0.944,10.366,0.534,2.290,4.046,16.25
324,-4.091,0.232,10.303,-1.985,-1.840,1.473,16.15
325,-3.909,0.077,10.311,-0.710,-2.611,2.725,15.92
326,0.302,-0.218,10.117,0.298,5.176,3.435,16.06
327,-4.414,0.438,10.174,-3.000,-1.695,0.687,15.92
328,0.314,-0.278,9.927,-0.733,5.053,1.237,16.20
329,1.135,0.536,9.403,-1.229,6.267,-0.908,16.20
330,-3.336,0.860,10.121,-2.687,-2.321,-3.061,16.34
331,1.732,0.084,10.028,0.176,5.229,0.137,16.25
332,-3.844,1.607,9.923,-2.748,-0.458,-4.099,16.25
333,1.940,0.474,10.172,0.519,2.649,-0.740,15.87
334,-3.327,1.995,9.848,-2.015,1.145,-3.214,16.06
335,-0.453,1.001,9.937,1.061,0.626,-1.557,16.15
336,-1.641,2.548,9.434,0.137,3.038,-3.496,16.20
337,-0.120,1.133,9.810,1.824,-0.977,-2.458,16.20
338,-0.484,2.484,9.422,3.031,4.191,-1.061,16.34
339,-2.453,1.490,10.215,2.504,-3.336,0.626,16.15
340,2.247,0.086,9.566,-1.206,3.221,-0.702,15.92
341,-1.166,0.668,10.152,-0.626,-0.198,-1.939,16.06
342,-0.616,2.692,9.254,-1.870,4.374,-1.939,16.01
343,-1.875,1.202,9.956,-0.924,-2.069,-2.672,16.25
344,-0.117,2.318,9.487,1.908,5.863,-2.420,15.87
345,-2.318,2.105,9.839,0.840,-2.023,-2.771,16.01
346,2.958,1.013,9.410,4.031,5.565,-0.206,16.20
347,-3.056,1.868,10.129,2.603,-2.588,-0.206,16.34
348,1.990,0.062,10.100,4.214,3.679,2.824,16.06
349,-2.766,1.595,9.980,2.473,0.038,1.878,16.06
350,-3.645,0.915,9.839,1.473,-1.206,2.076,16.06
351,2.026,-0.266,9.729,3.328,5.282,3.870,16.06
352,-2.294,0.833,9.899,1.931,1.229,0.969,16.06
353,1.945,-1.324,10.157,3.588,2.718,3.038,16.25
354,-0.465,-0.113,10.009,0.282,3.939,2.481,16.06
355,-3.466,0.517,9.990,-1.351,3.084,0.153,16.20
356,-3.942,0.862,9.980,-3.328,-1.870,-1.885,16.34
357,0.541,0.798,9.599,-1.947,6.046,-0.863,16.15
358,-4.390,1.394,9.860,-2.626,-1.084,-3.527,16.06
359,-3.880,1.437,10.191,-2.374,-1.183,-3.656,15.92
360,-1.085,0.951,9.954,0.084,-0.824,-1.542,16.06
361,2.711,0.793,9.647,2.893,3.901,-1.344,16.06
362,-2.122,2.014,9.741,2.015,0.145,-1.725,15.87
363,1.281,0.254,10.392,4.153,1.221,1.176,16.25
364,-2.390,1.473,9.992,3.618,2.595,1.305,16.20
365,-1.015,0.501,10.270,2.756,-0.916,3.260,15.92
366,-0.069,0.860,9.520,3.260,3.908,1.679,16.06
367,-1.990,0.309,10.196,2.153,-1.969,3.107,16.06
368,0.137,0.486,9.575,2.267,5.389,2.328,16.06
369,-3.367,0.592,10.294,1.695,-2.870,1.992,16.15
370,1.993,-1.368,10.236,2.809,4.901,3.985,16.06
371,1.497,-1.023,10.311,0.374,4.992,2.389,16.01
372,1.823,0.263,9.525,-1.267,5.626,0.168,16.06
373,-3.554,1.413,9.781,-2.344,1.183,-3.748,16.06
374,1.535,0.160,9.683,-0.916,3.374,-0.321,16.01
375,-0.271,1.566,9.815,-0.763,4.992,-2.977,16.20
376,-0.819,2.553,9.360,0.275,4.023,-3.351,16.01
377,-2.716,1.631,10.014,0.985,-2.191,-3.092,16.25
378,-2.615,1.506,10.150,2.282,-3.076,0.351,16.25
379,1.612,-0.034,9.954,3.840,2.191,2.588,16.15
380,-2.943,1.971,9.642,1.351,-1.481,1.435,15.92
381,0.453,-0.285,9.915,2.878,-0.534,3.000,16.25
382,2.244,-0.477,9.729,3.496,4.496,3.015,16.25
383,-3.145,0.580,10.255,1.397,-0.817,1.023,16.15
384,1.130,-1.224,10.301,2.267,1.275,3.733,16.15
385,-2.007,0.182,10.009,-0.313,2.313,2.641,16.15
386,-0.838,-0.867,10.454,-0.176,-0.473,2.855,16.39
387,-1.497,0.472,9.949,-1.076,4.191,1.206,15.92
388,-2.493,-0.469,10.260,-2.870,-2.443,0.382,16.15
389,1.198,0.134,9.309,-1.672,6.573,-0.038,15.92
390,-3.377,0.788,9.997,-2.855,-2.557,-2.870,16.20
391,1.688,0.177,9.575,-0.420,4.779,-0.397,16.25
392,-3.937,2.091,9.875,-2.824,-0.763,-3.725,16.20
393,-2.282,0.992,10.303,-1.321,-2.527,-2.817,16.15
394,1.322,0.769,9.906,1.000,3.458,-0.634,16.15
395,-3.799,2.287,9.630,-1.092,-2.267,-3.145,16.06
396,1.667,0.807,9.709,1.969,1.382,-1.305,16.06
397,-2.632,2.500,9.468,1.298,-0.664,-3.260,16.25
398,-0.680,0.647,10.366,3.489,-1.076,0.305,16.15
399,-2.505,1.463,9.863,2.908,0.038,-0.321,16.06
400,-1.118,0.611,10.402,1.718,-1.763,2.901,16.20
401,-1.734,-0.134,10.112,1.771,-2.275,3.702,16.06
402,2.474,-0.525,9.954,3.557,4.489,2.618,16.15
403,-0.491,-0.283,10.011,1.275,5.260,2.641,16.06
404,-3.703,0.278,10.131,-1.740,-2.618,1.824,16.15
405,1.624,-0.678,10.011,-0.015,5.366,2.794,16.01
406,-4.603,0.582,10.133,-3.855,-1.756,-0.466,16.06
407,1.581,-0.342,9.745,-0.687,4.107,0.954,16.15
408,-3.003,1.384,10.042,-3.008,0.740,-3.466,16.25
409,0.608,0.175,9.889,-0.878,1.756,-0.649,16.20
410,-2.721,1.770,9.822,-1.954,3.267,-3.687,16.15
411,0.354,0.402,10.169,-0.282,-0.527,-1.374,16.15
412,0.378,1.801,9.245,-0.893,5.580,-2.206,16.01
413,-1.626,2.479,9.499,1.397,4.275,-2.763,16.06
414,-1.708,1.849,9.951,3.176,3.061,0.023,16.15
415,-2.872,1.655,10.236,1.863,-2.405,2.634,16.06
416,-3.329,0.965,10.004,1.977,-2.733,2.153,16.06
417,1.660,-0.237,9.633,2.664,1.359,3.534,16.06
418,-3.126,0.771,10.196,1.618,-1.580,1.794,16.15
419,-0.582,-1.054,10.277,1.420,-0.565,3.809,16.06
420,-3.408,0.048,10.394,0.038,0.595,2.290,16.06
421,-3.583,-0.113,10.483,-1.252,-2.626,2.198,16.01
422,-1.734,0.069,9.999,-2.573,-2.084,-0.679,16.25
423,1.851,-0.091,9.745,-0.435,4.076,-0.672,16.39
424,-3.755,1.008,10.009,2.198,-1.557,2.634,16.15
425,0.960,-0.778,9.911,1.313,5.038,2.855,16.39
426,0.651,-0.541,10.023,-0.802,4.954,1.588,16.34
427,-4.404,1.047,9.812,-3.351,-0.748,-2.076,16.01
428,-4.505,1.526,9.954,-2.718,-0.573,-2.992,15.92
429,-1.902,0.599,10.385,-0.450,-1.153,-2.611,16.06
430,-1.894,1.130,10.169,-0.008,-1.718,-1.939,15.92
431,2.455,0.960,9.468,2.992,5.908,-1.443,16.06
432,-1.518,1.794,9.832,0.992,-2.092,-1.687,16.06
